Winner for lottery draw 0: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.028000ms.
Winner for lottery draw 142: [pid: 153, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 143: [pid: 1782, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 144: [pid: 353, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 145: [pid: 4163, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 146: [pid: 2195, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 147: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 148: [pid: 139, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 149: [pid: 1534, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 150: [pid: 1419, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 151: [pid: 1610, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 152: [pid: 1831, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 153: [pid: 1818, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 154: [pid: 395, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 155: [pid: 442, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 156: [pid: 2084, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 157: [pid: 37, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 158: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 159: [pid: 1, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 160: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 161: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 162: [pid: 805, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 163: [pid: 3893, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 164: [pid: 151, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 165: [pid: 1512, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 166: [pid: 395, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 167: [pid: 12, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 168: [pid: 2012, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 169: [pid: 191, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 170: [pid: 20, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 171: [pid: 15, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 172: [pid: 1526, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 173: [pid: 139, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 174: [pid: 18, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 175: [pid: 1405, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 176: [pid: 135, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 177: [pid: 249, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 178: [pid: 412, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 179: [pid: 153, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 180: [pid: 1610, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 181: [pid: 4215, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 182: [pid: 3663, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 183: [pid: 14, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 184: [pid: 1627, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 185: [pid: 2012, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 186: [pid: 1375, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 187: [pid: 249, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 188: [pid: 2109, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 189: [pid: 14, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 190: [pid: 1880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 191: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 192: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 193: [pid: 1813, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 194: [pid: 246, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 195: [pid: 284, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 196: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 197: [pid: 940, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 198: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 199: [pid: 249, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 200: [pid: 1546, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 201: [pid: 6571, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 202: [pid: 1750, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 203: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 204: [pid: 445, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 205: [pid: 1582, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 206: [pid: 243, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 207: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 208: [pid: 151, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 209: [pid: 28, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 210: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 211: [pid: 1490, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 212: [pid: 1881, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 213: [pid: 2012, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 214: [pid: 471, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 215: [pid: 251, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 216: [pid: 1604, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 217: [pid: 1028, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 218: [pid: 8686, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 219: [pid: 397, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 220: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 221: [pid: 143, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 222: [pid: 4014, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 223: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 224: [pid: 248, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 225: [pid: 2074, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 226: [pid: 38, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 227: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 228: [pid: 803, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 229: [pid: 1721, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 230: [pid: 1116, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 231: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 232: [pid: 242, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 233: [pid: 2086, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 234: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 235: [pid: 1618, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 236: [pid: 6571, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 237: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 238: [pid: 426, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 239: [pid: 248, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 240: [pid: 136, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 241: [pid: 244, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 242: [pid: 16, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 243: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 244: [pid: 754, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 245: [pid: 400, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 246: [pid: 4014, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 247: [pid: 1028, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 248: [pid: 20, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 249: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 250: [pid: 173, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 251: [pid: 8668, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 252: [pid: 1581, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 253: [pid: 12, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 254: [pid: 940, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 255: [pid: 403, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
